population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,21.10301155899203,22.776872112404515,19.828605471676838
1,All Population,1,Deaths,63,Ukraine,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,24.092075994845015,25.49842819587739,22.538369754757696
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2001,23.53873836625558,24.889113635239106,22.1983400753518
1,All Population,1,Deaths,396,San Marino,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,11.33537630203161,14.271901631706971,8.863462227509174
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,17.034108754528276,18.106314017768213,15.884359956341513
1,All Population,1,Deaths,42,Central Europe,3,Both,22,All ages,973,Substance use disorders,3,Rate,2002,6.107943168125968,6.407613090525852,5.834904196685462
1,All Population,1,Deaths,63,Ukraine,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,46.924519415400326,49.60042623716645,44.438078603126534
1,All Population,1,Deaths,42,Central Europe,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2003,21.20158135446654,22.09878920934958,20.431014224988598
1,All Population,1,Deaths,94,Switzerland,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,6.861344579631069,7.336655459544775,6.393059506746936
1,All Population,1,Deaths,73,Western Europe,3,Both,22,All ages,973,Substance use disorders,3,Rate,2003,5.807146798017064,6.018549954220296,5.562412060713419
1,All Population,1,Deaths,88,Malta,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2001,6.9133534447438185,7.707978219132744,6.258343371632793
1,All Population,1,Deaths,95,United Kingdom,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,5.153363928603004,5.619117018526532,4.700311309619419
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2001,18.560182716019,21.23801268618867,16.19435012525086
1,All Population,1,Deaths,45,Bulgaria,3,Both,22,All ages,973,Substance use disorders,3,Rate,2001,2.6051041105031563,2.8311858904464793,2.364729954698067
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2001,9.095433278440128,9.932603600256481,8.45831093076983
1,All Population,1,Deaths,56,Eastern Europe,3,Both,22,All ages,973,Substance use disorders,3,Rate,2003,40.44262250300756,42.835067203933,38.275476124126435
1,All Population,1,Deaths,46,Croatia,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,6.56565701904699,7.144870336899366,6.074933466994443
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,973,Substance use disorders,3,Rate,2001,1.7923987567808541,2.149994935467374,1.5033050540296105
1,All Population,1,Deaths,53,Serbia,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2001,27.829325166818062,31.69038889508268,24.12068171507522
1,All Population,1,Deaths,56,Eastern Europe,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2003,72.44212594872474,76.05968274954833,68.73148796634845
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,1.873834540467915,2.709459651958744,1.3035839971791556
1,All Population,1,Deaths,73,Western Europe,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2002,14.2333189685986,14.810962535512171,13.573369512875333
1,All Population,1,Deaths,55,Slovenia,3,Both,22,All ages,973,Substance use disorders,3,Rate,2001,9.01248493363831,9.86744806932366,8.178794263649024
1,All Population,1,Deaths,75,Austria,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,20.830619561033195,21.98771218434813,19.738658956552488
